GENE_SYMBOL,Log_FoldChange,absLogFC,logCPM,PValue,FDR_adjusted_P.value
IFNL2,11.354,11.354,2.399,1.61225E-88,1.90857E-85
IFNL3,10.225,10.225,1.105,6.1618E-68,3.22305E-65
IFNL1,9.792,9.792,1.48,3.08168E-93,4.62087E-90
SFT2D3,-9.013,9.013,0.822,2.78617E-12,6.97845E-11
IFNB1,8.704,8.704,1.281,2.7849E-133,1.5659E-129
CXCL11,8.421,8.421,6.289,1.6684E-137,1.2509E-133
CXCL10,8.377,8.377,6.436,8.36E-95,1.34309E-91
HEATR9,8.174,8.174,0.995,1.45982E-41,3.90884E-39
PLVAP,8.067,8.067,-1.302,5.80651E-27,6.62944E-25
IFIT1B,8.05,8.05,0.625,1.59758E-42,4.54846E-40
CXCL9,8.014,8.014,1.28,2.6046E-110,6.5091E-107
GBP7,7.832,7.832,-1.122,1.29971E-33,2.39616E-31
PKHD1L1,7.596,7.596,-0.703,6.20376E-33,1.07335E-30
GCG,7.513,7.513,-1.684,3.74276E-30,5.5021E-28
SLC25A47,7.512,7.512,-0.558,1.1081E-34,2.11214E-32
IFIT2,7.503,7.503,7.693,2.2809E-191,5.1302E-187
AMPD1,7.503,7.503,-1.691,5.78091E-30,8.38866E-28
CMPK2,7.413,7.413,4.881,1.35256E-89,1.6901E-86
LGALS9,7.293,7.293,3.676,2.11242E-53,8.48439E-51
RAPGEF6,-7.245,7.245,-0.764,3.71939E-05,0.000225246
TULP2,7.236,7.236,1.877,1.0482E-30,1.61481E-28
KRT35,7.104,7.104,-2.407,1.11894E-27,1.34584E-25
RSAD2,7.043,7.043,5.736,6.42672E-86,6.28477E-83
MIR568,-7.037,7.037,-0.66,0.003509013,0.011081819
THEMIS,7.007,7.007,-1.294,9.94714E-31,1.54297E-28
MATN4,6.97,6.97,-0.336,8.88276E-32,1.46905E-29
KRT82,6.854,6.854,-1.952,4.50565E-26,4.89571E-24
IFIT1,6.766,6.766,8.53,3.8076E-124,1.4274E-120
HDC,6.752,6.752,-2.441,2.08441E-23,1.89808E-21
ATP6V0A4,6.61,6.61,1.399,8.10722E-41,2.14527E-38
RAB44,6.584,6.584,-0.809,4.94406E-27,5.70266E-25
KRT38,6.564,6.564,-1.988,2.61526E-21,2.02139E-19
PIK3R3,-6.556,6.556,-1.421,5.86052E-06,4.45772E-05
MPO,6.52,6.52,-2.635,1.22697E-16,5.5639E-15
MYO18B,6.499,6.499,-2.277,9.41955E-21,6.92368E-19
RBPJL,6.493,6.493,-1.208,2.1401E-28,2.73495E-26
GMPR,6.49,6.49,2.598,1.33515E-63,6.52829E-61
FAM216B,6.454,6.454,-2.268,9.64587E-22,7.69344E-20
VTRNA1-3,6.387,6.387,4.992,4.70193E-48,1.55523E-45
MIR6724-2,6.374,6.374,-0.767,3.13551E-19,1.9922E-17
MIR6724-3,6.374,6.374,-0.767,3.13395E-19,1.9922E-17
MIR6724-1,6.374,6.374,-0.767,3.13423E-19,1.9922E-17
MIR6724-4,6.374,6.374,-0.767,3.13504E-19,1.9922E-17
P2RY14,6.368,6.368,-2.563,2.5125E-22,2.10078E-20
HLA-DQB2,6.365,6.365,-2.934,1.08161E-20,7.9243E-19
CETP,6.291,6.291,-2.331,1.66007E-33,3.01115E-31
IFI44L,6.281,6.281,5.562,1.7637E-70,1.04392E-67
IFIT3,6.272,6.272,7.309,3.565E-152,4.0092E-148
