GENE_SYMBOL,adj.P.Val,P.Value,t,B,logFC,abs_logFC
CTNS,0.009703147,0.003065304,3.751829927,-2.160701955,0.32539307,0.32539307
CDKN1A,0.084132304,0.042089572,-2.291813567,-4.753756255,-0.325370103,0.325370103
SIK2,0.01239026,0.004170145,3.577908765,-2.47266239,0.32535521,0.32535521
CHTF8,0.006053963,0.001689156,-4.093574205,-1.553552679,-0.325353668,0.325353668
DPY19L1P1,0.001379751,0.000228955,-5.308226214,0.501944128,-0.325329114,0.325329114
FAM78A,0.004709758,0.001215805,-4.285523004,-1.217056786,-0.325211715,0.325211715
REXO2,0.002358791,0.000480923,-4.84266918,-0.263831803,-0.325208062,0.325208062
BRD9,0.013721547,0.004734812,-3.506581042,-2.600985753,-0.325173629,0.325173629
FAM50B,0.007229955,0.002124972,3.961075768,-1.787854015,0.325171302,0.325171302
VWA1,0.003098,0.000697724,4.616111055,-0.64690638,0.325028842,0.325028842
SNX22,0.004968248,0.001304186,4.244337233,-1.288943496,0.324993746,0.324993746
RPL18A,0.005785158,0.001594321,-4.127115658,-1.494491395,-0.32491803,0.32491803
VAT1,0.0652293,0.030969917,2.463898684,-4.460169404,0.324870612,0.324870612
GRWD1,0.001733957,0.000316235,5.103276931,0.168484916,0.324778276,0.324778276
NLRP14,0.018496693,0.006824812,3.302369433,-2.969028291,0.32476946,0.32476946
ZNF500,0.005042131,0.001331636,-4.232136467,-1.310272991,-0.324758555,0.324758555
CNGA3,0.054246024,0.02479355,2.587756883,-4.245000409,0.324738019,0.324738019
WDR70,0.002701113,0.000578736,-4.729413102,-0.454512567,-0.324608008,0.324608008
LOC654433,0.342690208,0.234793051,-1.255180054,-6.284463924,-0.32456936,0.32456936
ATP13A1,0.003147903,0.000713114,4.602958775,-0.669343306,0.324540525,0.324540525
CHCHD1,0.000471895,0.0000459,-6.389348677,2.162334837,-0.324485832,0.324485832
SNHG5,0.003860959,0.000936335,-4.439945734,-0.949162495,-0.324474412,0.324474412
SERPINA3,0.164445904,0.094503268,-1.825438635,-5.5046106,-0.324425302,0.324425302
LOC400099,0.004109825,0.001018213,4.390183727,-1.035200164,0.32438535,0.32438535
PKI55,0.005121097,0.001361032,-4.219357399,-1.332629893,-0.324363943,0.324363943
SLC35G1,0.005549481,0.001510996,-4.15834596,-1.439596143,-0.324361319,0.324361319
RPS2P32,0.001236658,0.000195933,5.408438705,0.662853362,0.324319734,0.324319734
MYCBP2,0.000900387,0.000124292,5.706692244,1.133319523,0.324277618,0.324277618
FCRL5,0.178774088,0.104654635,1.764613115,-5.596238774,0.324264569,0.324264569
COL14A1,0.136141437,0.075293271,1.958991827,-5.297724497,0.324228248,0.324228248
OR10J1,0.016488095,0.005928602,3.380815225,-2.827582902,0.324199906,0.324199906
OR5H6,0.04903106,0.021968938,2.654886571,-4.127275226,0.32411843,0.32411843
FGF22,0.007149611,0.002094792,3.969299703,-1.773267494,0.324112356,0.324112356
LOC100129831,0.003755869,0.000902021,4.462169814,-0.910829102,0.324071754,0.324071754
RHBDF1,0.006715288,0.001932335,-4.015792102,-1.690911841,-0.324044733,0.324044733
CDC42BPA,0.006249974,0.001761245,4.069362317,-1.596251147,0.324006083,0.324006083
NUP54,0.000977089,0.000140206,-5.626938284,1.008757901,-0.323981046,0.323981046
SLC9A5,0.023792132,0.009252767,3.133377252,-3.273583504,0.323979426,0.323979426
C20orf111,0.000574516,0.0000625,-6.173593935,1.844283827,-0.32392753,0.32392753
GPA33,0.107264182,0.056418439,-2.125482881,-5.030119495,-0.323917484,0.323917484
POLH,0.001949767,0.000371991,-5.001626638,0.00094797,-0.323890693,0.323890693
ZNF263,0.004487725,0.001140637,-4.323088784,-1.151645597,-0.323828228,0.323828228
LOC100128429,0.003385627,0.000787318,4.543459214,-0.771109345,0.32382535,0.32382535
PREP,0.002771478,0.00059853,4.708956186,-0.489130127,0.323791378,0.323791378
MRPS35,0.000343899,0.0000273,-6.765473716,2.701194879,-0.323775918,0.323775918
IGFBP2,0.003476402,0.000814118,4.52340386,-0.805507602,0.323709708,0.323709708
AP4M1,0.016785753,0.006054322,-3.369108911,-2.848688147,-0.323627796,0.323627796
JAZF1,0.004708575,0.001215258,4.285787244,-1.216596151,0.323603495,0.323603495
MTMR6,0.015788474,0.005621061,-3.410554394,-2.773973655,-0.32353115,0.32353115
SLC17A3,0.146065051,0.081992797,1.909181166,-5.375758214,0.323491301,0.323491301
LINC00263,0.000489369,0.0000487,-6.348412972,2.102495658,-0.32333014,0.32333014
WDR73,0.01503831,0.005297071,3.443737759,-2.714172195,0.323267904,0.323267904
PPARGC1A,0.023012149,0.008882757,-3.155997511,-3.232852062,-0.323233743,0.323233743
LOC100130930,0.07033129,0.033870388,-2.413855808,-4.546246298,-0.323221208,0.323221208
SUZ12,0.000888631,0.000122037,5.718868407,1.1522565,0.323201448,0.323201448
CCNB3,0.009084794,0.002829764,-3.797272098,-2.079470629,-0.323078439,0.323078439
PPP2R2A,0.000669377,0.0000794,6.009043641,1.597272997,0.323071724,0.323071724
ANKRD32,0.014408748,0.005024294,-3.473326139,-2.660868446,-0.323039394,0.323039394
OR4L1,0.302445444,0.200679071,1.3590595,-6.157133002,0.323015567,0.323015567
LOC399715,0.011412592,0.003750468,-3.637668782,-2.365302927,-0.323009379,0.323009379
ANKRD1,0.03795659,0.016217219,2.822943363,-3.829825966,0.322996508,0.322996508
PSMD7,0.005530067,0.001505062,-4.160638084,-1.435570876,-0.32299382,0.32299382
FLJ38773,0.005678712,0.001556833,-4.140951024,-1.470160578,-0.322923391,0.322923391
HIST1H2BI,0.00119812,0.000186486,-5.440428275,0.71391969,-0.322876608,0.322876608
RGL2,0.048082461,0.021462189,-2.667824707,-4.104506685,-0.322852498,0.322852498
PPARD,0.014936869,0.005253035,3.448407427,-2.705758442,0.322813302,0.322813302
SNTB2,0.00227369,0.000459175,4.871148738,-0.2161458,0.322617576,0.322617576
RPL36AL,0.000466775,0.0000453,-6.400075647,2.177976365,-0.322608084,0.322608084
PTHLH,0.022908546,0.008831272,3.15922029,-3.227047685,0.322602254,0.322602254
RTP4,0.151689368,0.085859743,1.882113525,-5.41773574,0.322566996,0.322566996
NSUN3,0.004665174,0.001201323,-4.29256845,-1.204777418,-0.322424816,0.322424816
FAH,0.014211067,0.004937041,-3.483138554,-2.64319594,-0.322335387,0.322335387
ARPC4,0.001265916,0.000202609,-5.386804358,0.628235438,-0.322301297,0.322301297
TRAF3IP1,0.005179729,0.001381321,4.210704231,-1.347778023,0.32228529,0.32228529
SLC13A4,0.003032377,0.000678082,-4.633346023,-0.617536935,-0.322214952,0.322214952
GCK,0.015939182,0.005684525,3.404283665,-2.78527656,0.322208137,0.322208137
TMEM191C,0.093843249,0.048069676,2.216679285,-4.879597052,0.322181082,0.322181082
ITGB7,0.061104375,0.028574581,2.508794635,-4.382507299,0.322139196,0.322139196
GOLGA7B,0.025149156,0.009890316,3.096464778,-3.340013157,0.322107881,0.322107881
TNFRSF19,0.014975948,0.005271225,-3.446473702,-2.70924255,-0.322015222,0.322015222
ZMPSTE24,0.002416551,0.000497019,-4.822450809,-0.297749914,-0.322013602,0.322013602
SRSF9,0.000427302,0.0000387,6.511207511,2.339073445,0.321955068,0.321955068
GATAD2B,0.1348469,0.074340246,1.966408271,-5.286021311,0.321946822,0.321946822
NT5DC4,0.00440911,0.001114737,-4.336634684,-1.128096301,-0.321815268,0.321815268
BRD8,0.032713634,0.013599447,2.920280939,-3.656142522,0.321809775,0.321809775
PLD1,0.00172437,0.000313122,-5.109498788,0.178693716,-0.321755194,0.321755194
HAUS3,0.360711506,0.25088195,-1.210386614,-6.337024494,-0.321724264,0.321724264
CEP104,0.005345586,0.001438877,4.186859434,-1.389559594,0.321656327,0.321656327
LOC407835,0.01503831,0.005297141,3.443730406,-2.714185443,0.321589284,0.321589284
SPATA6,0.032828332,0.013655786,-2.917995222,-3.660230431,-0.321584926,0.321584926
AGTR1,0.381986747,0.270078185,1.159829917,-6.394575212,0.321511361,0.321511361
STARD3NL,0.014689728,0.005149007,-3.459599596,-2.685594451,-0.321488448,0.321488448
CYMP,0.030391634,0.012443812,-2.969383891,-3.568229189,-0.32147,0.32147
SLC4A3,0.017042424,0.006168871,-3.358656517,-2.867533767,-0.321432646,0.321432646
ZNF75D,0.003562332,0.000840084,-4.504622201,-0.837764728,-0.321420265,0.321420265
RIMBP3,0.095052388,0.048814374,2.207956175,-4.894103864,0.321302541,0.321302541
FAM83B,0.146923871,0.08255669,-1.905161862,-5.382010857,-0.321286104,0.321286104
ZNF528,0.028547149,0.011536136,-3.011273071,-3.493101631,-0.321277426,0.321277426
MTHFS,0.000534761,0.0000556,-6.254759454,1.964705284,-0.321231254,0.321231254
PRDM11,0.128803946,0.070318115,1.998714122,-5.234794926,0.321230996,0.321230996
FLJ44342,0.011614851,0.003836987,-3.624804601,-2.388400227,-0.321189078,0.321189078
GAB1,0.011543888,0.003803763,-3.629708946,-2.3795937,-0.321155872,0.321155872
NIN,0.003217848,0.000734334,-4.585304478,-0.699493715,-0.321147295,0.321147295
TMSB15B,0.005620423,0.001535747,-4.148885887,-1.456214681,-0.321125584,0.321125584
SPTLC1,0.00409282,0.001012082,-4.393762942,-1.029002391,-0.320947718,0.320947718
RPAP3,0.001808335,0.000335894,-5.065417776,0.106251325,-0.32089625,0.32089625
CYP2B6,0.011395253,0.003742784,3.638825983,-2.363225583,0.320873084,0.320873084
MKI67IP,0.0034216,0.000797502,-4.535755082,-0.784317515,-0.32083542,0.32083542
ANO7,0.081650364,0.040539273,2.312963121,-4.718058572,0.320808681,0.320808681
GLT1D1,0.066427031,0.031640761,2.451931131,-4.480802592,0.320744656,0.320744656
TRA2A,0.042458213,0.018512562,-2.74970977,-3.9598725,-0.320743668,0.320743668
C4B,0.00594435,0.001650734,4.106921495,-1.530037497,0.320737371,0.320737371
RAB41,0.013807149,0.004768396,3.502617762,-2.608120875,0.320726829,0.320726829
PRSS55,0.028299889,0.011408022,3.017450839,-3.482012874,0.320705564,0.320705564
TJP2,0.010009904,0.003187729,3.729613743,-2.200461361,0.320627346,0.320627346
C4BPA,0.085061643,0.042688922,2.283837072,-4.767189125,0.320593668,0.320593668
LINC00511,0.00311734,0.000704019,-4.610694736,-0.65614369,-0.320455919,0.320455919
DEPDC1,0.013539472,0.004659289,-3.5155997,-2.58475116,-0.320445139,0.320445139
DLD,0.001125398,0.000170671,-5.498028906,0.805504124,-0.320328523,0.320328523
CCDC135,0.139142343,0.077314964,-1.943542755,-5.322033699,-0.320295132,0.320295132
GBAS,0.00157661,0.000276913,-5.18708395,0.305546954,-0.320290102,0.320290102
RBM18,0.000740589,0.0000923,-5.906324866,1.441119825,-0.320184816,0.320184816
HINT2,0.000820589,0.000108059,-5.800096,1.278042778,-0.320178974,0.320178974
LOC284440,0.004224326,0.001052275,4.370703301,-1.068957681,0.32016562,0.32016562
TUBB,0.001764509,0.000324754,-5.086573783,0.141052171,-0.320160032,0.320160032
CGNL1,0.009060802,0.002820167,3.799205593,-2.076017299,0.320144359,0.320144359
DPYSL5,0.106357259,0.055822991,2.131548549,-5.020188694,0.319983962,0.319983962
TBC1D2,0.00325719,0.000747702,4.574454762,-0.718041973,0.319942136,0.319942136
DUSP27,0.409210782,0.295226028,1.097671079,-6.462672064,0.319901035,0.319901035
HIST1H4J,0.008890973,0.002752979,3.812934727,-2.051503421,0.319884048,0.319884048
EPHA4,0.001014334,0.000148017,-5.591239397,0.952708069,-0.319752594,0.319752594
LIPT1,0.000435059,0.0000401,-6.485934288,2.302589201,-0.319687373,0.319687373
KIF26B,0.135980188,0.075179165,1.959875202,-5.296331655,0.319684885,0.319684885
LOC619207,0.080901424,0.040079713,2.319382097,-4.707201387,0.319648449,0.319648449
INPP5E,0.004739148,0.001226506,4.280372962,-1.22603603,0.31964841,0.31964841
TAGAP,0.062397653,0.029294506,2.494926638,-4.406538878,0.319638716,0.319638716
DLG2,0.012463073,0.004201225,3.573731709,-2.480172118,0.319637867,0.319637867
LOC388387,0.002363129,0.000482349,4.840850025,-0.266881405,0.319637139,0.319637139
CD74,0.064132898,0.030338453,-2.475396577,-4.440318288,-0.319631139,0.319631139
PEPD,0.002491116,0.000518316,4.796733083,-0.340970746,0.319628874,0.319628874
AADAC,0.012230902,0.004105041,-3.586762938,-2.45674619,-0.319587858,0.319587858
DDR1,0.006412594,0.001816654,4.051442184,-1.627888295,0.31957503,0.31957503
WDR38,0.062524304,0.029372334,-2.493447398,-4.409100021,-0.319518542,0.319518542
EPX,0.002732242,0.000587087,4.72069394,-0.469260782,0.319455437,0.319455437
NCOA1,0.002791035,0.000604404,4.703021939,-0.499182107,0.319443974,0.319443974
SCXA,0.002831609,0.000616048,4.691435175,-0.518821683,0.319257845,0.319257845
NEURL4,0.009010926,0.002799626,3.803366693,-2.068586175,0.319198369,0.319198369
MBD2,0.001914255,0.000363084,5.016739631,0.025945733,0.319191402,0.319191402
TUBGCP6,0.003115056,0.0007033,-4.611311279,-0.655092019,-0.319154218,0.319154218
CHMP4A,0.00063751,0.0000737,-6.059854948,1.673959104,-0.319126432,0.319126432
CENPV,0.00161427,0.000285987,-5.166675188,0.272258885,-0.319091997,0.319091997
FAM199X,0.00078423,0.000101272,5.843663915,1.345121381,0.31903475,0.31903475
RSC1A1,0.005775341,0.00159077,4.128411808,-1.492211211,0.318911112,0.318911112
DKFZP434F142,0.006396142,0.001809932,4.053585802,-1.624102316,0.318818504,0.318818504
SIAH2,0.0425865,0.018579729,2.747705306,-3.963423308,0.318791444,0.318791444
KRTAP20-1,0.142345311,0.079404216,1.92796521,-5.346448655,0.318692026,0.318692026
SCAMP4,0.000845159,0.000113399,5.767810333,1.22815939,0.318622589,0.318622589
AARSD1,0.000563574,0.0000606,-6.19552017,1.876906903,-0.318605064,0.318605064
C21orf33,0.006740529,0.001942936,4.012636672,-1.696495481,0.31860415,0.31860415
LOC644450,0.038966229,0.01673423,-2.805586656,-3.860700957,-0.318534784,0.318534784
ZNF33A,0.001205858,0.000188287,-5.434198469,0.703986149,-0.318524331,0.318524331
FLJ33534,0.025034729,0.009834312,3.099609599,-3.334355567,0.318485033,0.318485033
ZNF625,0.020950945,0.007920681,3.219596565,-3.118260555,0.318471534,0.318471534
SSC5D,0.055720015,0.025609296,2.5697672,-4.276424888,0.318414099,0.318414099
POU5F1,0.006587766,0.001881276,-4.031246277,-1.663577645,-0.318265206,0.318265206
RBX1,0.00109265,0.00016428,-5.522929888,0.84495047,-0.318243646,0.318243646
PPA1,0.000675201,0.0000805,-5.999419233,1.582705998,-0.31823012,0.31823012
CA7,0.029477034,0.011996558,2.98962668,-3.531937851,0.318229177,0.318229177
CAPN8,0.065227237,0.030963958,-2.464006111,-4.459984056,-0.318195463,0.318195463
SF3A3,0.000524336,0.000054,-6.27548655,1.995307435,-0.31806828,0.31806828
PMF1,0.002901246,0.000637089,-4.671069884,-0.553381877,-0.318033836,0.318033836
CDC42EP3,0.008528956,0.002615143,-3.842217358,-1.999260959,-0.318018137,0.318018137
DERL3,0.011584068,0.003821755,3.627047726,-2.384372204,0.31801365,0.31801365
ZC3H8,0.016980818,0.006142591,-3.361036932,-2.863241811,-0.317993808,0.317993808
ADAT3,0.001076601,0.000160829,5.5368063,0.866894195,0.317940374,0.317940374
LRAT,0.059559964,0.027717975,2.525747211,-4.353080753,0.317929931,0.317929931
HSP90AA1,0.002221461,0.00044355,-4.892501264,-0.180463417,-0.317899298,0.317899298
OR1D2,0.136599735,0.075630791,1.956386107,-5.301831221,0.317897724,0.317897724
LOC285375,0.465026237,0.347826053,-0.979599593,-6.583569192,-0.317825485,0.317825485
TRIM44,0.001780184,0.000328317,5.079724439,0.129791958,0.317702486,0.317702486
UBAP1,0.002276993,0.000460054,4.869970725,-0.21811614,0.317699552,0.317699552
CECR1,0.003175605,0.000722274,-4.595270959,-0.682468047,-0.317678374,0.317678374
SCAND3,0.011692298,0.003870823,-3.619854655,-2.397289754,-0.317674102,0.317674102
RGPD6,0.007013333,0.002043355,-3.983603288,-1.747911022,-0.317660077,0.317660077
LOC100130913,0.002941643,0.000649358,4.659518538,-0.573007809,0.31764275,0.31764275
PHKG2,0.001596937,0.000282172,-5.175169831,0.286121235,-0.317629002,0.317629002
LOC400654,0.286303447,0.187183243,-1.404218382,-6.099511253,-0.317595572,0.317595572
KRTAP4-1,0.131050449,0.071821038,1.986446239,-5.25429469,0.317570707,0.317570707
FPGS,0.009766592,0.003090212,3.747236716,-2.168919821,0.317563374,0.317563374
EMID1,0.011235528,0.003678453,3.648611289,-2.345662088,0.317547694,0.317547694
CSRNP3,0.001453345,0.000247036,-5.259649062,0.423436547,-0.317437878,0.317437878
MUC12,0.023006969,0.008878653,3.156253731,-3.232390608,0.317367829,0.317367829
SLC38A9,0.003058845,0.000686485,-4.625909277,-0.630205105,-0.317341428,0.317341428
TPI1P2,0.000572069,0.0000621,-6.178142501,1.851057052,-0.31725399,0.31725399
CDCA3,0.04146494,0.018000878,-2.765221276,-3.932378332,-0.31722361,0.31722361
CCBL2,0.00198202,0.000380859,-4.986954336,-0.023350413,-0.317216547,0.317216547
ADH7,0.037791379,0.016131128,-2.825886959,-3.824586654,-0.317206296,0.317206296
OPLAH,0.01150723,0.003788649,3.63195456,-2.375561714,0.317148586,0.317148586
CCNC,0.008143067,0.002464858,-3.876021063,-1.939027761,-0.317091356,0.317091356
PRPF40A,0.001482836,0.000254056,-5.241795072,0.394498965,-0.317047586,0.317047586
NTS,0.338007921,0.23060446,-1.267244529,-6.270060986,-0.317026058,0.317026058
LYNX1,0.002141268,0.000421887,4.923453133,-0.12884684,0.317015282,0.317015282
ZNF543,0.002507147,0.000522852,4.791399633,-0.349944824,0.317010832,0.317010832
TMC5,0.006587565,0.001880893,-4.031363949,-1.663369595,-0.31697738,0.31697738
CBR1,0.005595629,0.001527333,4.152084101,-1.450595394,0.31695229,0.31695229
CRYGA,0.018424952,0.006787004,3.305461215,-2.963453205,0.316940504,0.316940504
NUDT21,0.004558762,0.001165372,-4.310449188,-1.173637272,-0.316933492,0.316933492
SRPRB,0.000631085,0.0000723,-6.073052445,1.693816935,-0.31692124,0.31692124
RELA,0.0026412,0.000561643,4.74768017,-0.423645792,0.316901116,0.316901116
THOC1,0.009683647,0.003058292,-3.753129881,-2.158376397,-0.316858107,0.316858107
NXF1,0.009574055,0.003013862,-3.761439364,-2.14351355,-0.316851978,0.316851978
CLPTM1L,0.001437792,0.00024242,5.271684548,0.442918409,0.316837526,0.316837526
NSMAF,0.000506995,0.0000514,6.309566086,2.045491469,0.316813484,0.316813484
C6orf164,0.0738997,0.035896367,-2.381310418,-4.601931434,-0.316802826,0.316802826
ASAP3,0.013597525,0.004685114,3.512499058,-2.590332382,0.316781896,0.316781896
SCAPER,0.007338469,0.002165394,-3.950248822,-1.807065835,-0.316774396,0.316774396
CLDN1,0.020805494,0.007856478,-3.224115629,-3.110115084,-0.316769276,0.316769276
ADAP1,0.030291617,0.012398198,2.971414645,-3.564589664,0.316763438,0.316763438
SCARNA10,0.001656007,0.000295565,-5.145863287,0.238253889,-0.316737813,0.316737813
ARG1,0.349625446,0.240681883,1.238507907,-6.304196527,0.316673643,0.316673643
RACGAP1P,0.002341495,0.000476299,-4.848609473,-0.25387661,-0.316546667,0.316546667
PARG,0.002194577,0.000436682,-4.902139261,-0.164377057,-0.316509729,0.316509729
PPP2R5C,0.025512419,0.010071302,3.08642336,-3.358075149,0.316506631,0.316506631
HMG20A,0.011341121,0.003720002,-3.642271396,-2.357040941,-0.316484524,0.316484524
C17orf99,0.002766763,0.000597018,-4.710493319,-0.486527116,-0.316432031,0.316432031
CRNKL1,0.001299861,0.000210898,-5.360967028,0.586805529,-0.31636491,0.31636491
CORT,0.079320249,0.039084869,2.33352397,-4.683244794,0.316248048,0.316248048
CALM2,0.000686178,0.0000825,-5.982235157,1.556664173,-0.316223006,0.316223006
KRTAP19-1,0.047029622,0.020899911,2.682538386,-4.078584363,0.316212363,0.316212363
SOX7,0.006397793,0.001810961,4.053257016,-1.624682978,0.31616971,0.31616971
PPP1R3C,0.003619035,0.000856951,-4.492744722,-0.858185619,-0.31616497,0.31616497
SHANK2,0.083272225,0.04156536,2.298879992,-4.741841992,0.316162203,0.316162203
CCDC94,0.003638986,0.000863195,4.488409492,-0.865643299,0.316098232,0.316098232
RNF31,0.003278679,0.000754196,4.569257516,-0.726932053,0.316066942,0.316066942
USP14,0.014196961,0.004931309,3.483789423,-2.642023789,0.315975776,0.315975776
LOC100133331,0.007223589,0.002122817,3.961658972,-1.786819422,0.315956786,0.315956786
SH3YL1,0.001384968,0.000229983,-5.3053572,0.497316588,-0.31593346,0.31593346
RPL37A,0.00148144,0.00025355,-5.243065555,0.396559623,-0.315906704,0.315906704
TCP10L2,0.014704347,0.00515753,3.458673984,-2.687261942,0.31588445,0.31588445
OR5I1,0.009663764,0.003048615,3.754929159,-2.155157739,0.315863017,0.315863017
LOX,0.017493128,0.006367382,3.341002755,-2.899365155,0.315849012,0.315849012
LOC100130522,0.007416854,0.002194316,3.942629751,-1.820591142,0.315802865,0.315802865
FTSJ1,0.000502333,0.0000508,6.318916656,2.059232021,0.315745226,0.315745226
TCAM1P,0.028788864,0.011659966,-3.0053671,-3.50370045,-0.315724547,0.315724547
XAGE3,0.001365866,0.00022585,-5.316974013,0.516046642,-0.315705657,0.315705657
DDOST,0.008206821,0.002489437,-3.870349172,-1.949128449,-0.31566356,0.31566356
TIMM23,0.002495452,0.000519822,-4.794956517,-0.343959592,-0.315653104,0.315653104
ACBD7,0.060968887,0.028498716,2.510275842,-4.379938361,0.315649664,0.315649664
BLM,0.012964674,0.004413999,-3.545960151,-2.530118119,-0.315615996,0.315615996
JUND,0.003688338,0.000879205,4.477442741,-0.884518704,0.315538651,0.315538651
P2RX5,0.139536067,0.077579551,1.941548615,-5.325164586,0.315489518,0.315489518
NCR3,0.387307943,0.275054804,1.147184298,-6.408669701,0.31546144,0.31546144
LOC285095,0.002259574,0.000455398,4.876240171,-0.20763199,0.31544586,0.31544586
TMEM38B,0.005388351,0.00145402,-4.180751001,-1.400272137,-0.315318811,0.315318811
ZCWPW1,0.005929531,0.001645576,-4.108737799,-1.526838833,-0.315212384,0.315212384
LOC440346,0.003670628,0.000874338,-4.480754327,-0.878817488,-0.315206136,0.315206136
TXNRD2,0.004039952,0.000993918,-4.404499648,-1.010419361,-0.315147597,0.315147597
PRO2852,0.003189361,0.000726244,-4.591970926,-0.688104127,-0.315141738,0.315141738
OPN4,0.012179634,0.004078912,3.590357184,-2.450286105,0.315118155,0.315118155
PMM1,0.004100737,0.001015164,-4.391960617,-1.032123119,-0.315101715,0.315101715
LOC285419,0.002224903,0.000444889,-4.890640155,-0.183571132,-0.315054766,0.315054766
DSN1,0.010556868,0.003406811,-3.691968387,-2.267898681,-0.3149435,0.3149435
ORC5,0.000456561,0.0000434,-6.429447525,2.22072222,-0.31492008,0.31492008
MRPS22,0.00098986,0.000142938,-5.614219237,0.988808945,-0.314904476,0.314904476
SMC2,0.002221388,0.000443471,-4.89261192,-0.180278655,-0.314884657,0.314884657
ZNF287,0.022957157,0.008854354,-3.157773097,-3.229654184,-0.31487063,0.31487063
C4orf27,0.001791983,0.000331228,-5.074186315,0.120682674,-0.31485613,0.31485613
EBAG9,0.00286096,0.00062447,-4.68319719,-0.53279538,-0.314825324,0.314825324
RASSF10,0.011060725,0.003609555,3.659288245,-2.326503498,0.314791454,0.314791454
MPHOSPH6,0.00316257,0.000717109,-4.599593415,-0.675087801,-0.314781012,0.314781012
FTSJD1,0.010141194,0.003240237,-3.720353476,-2.217042645,-0.314747374,0.314747374
SNUPN,0.000972606,0.000139136,-5.631989382,1.016673792,-0.314728997,0.314728997
CEP57L1,0.018125001,0.006651021,-3.316727856,-2.94313718,-0.314719408,0.314719408
LOC338799,0.006496524,0.001845571,-4.042314307,-1.64401421,-0.31470822,0.31470822
KLKP1,0.005629399,0.001539189,4.147582791,-1.458504515,0.314619453,0.314619453
LOC100499484,0.418306972,0.303455496,-1.078212184,-6.48337066,-0.314611317,0.314611317
HELB,0.035495009,0.014973851,-2.867051689,-3.751228146,-0.31456635,0.31456635
ZNF678,0.018785104,0.006955448,-3.291819237,-2.988052177,-0.314396011,0.314396011
PHACTR4,0.003418531,0.000796459,4.536539535,-0.782972304,0.314378479,0.314378479
SIDT2,0.009710677,0.003069106,3.751126409,-2.161960559,0.314359401,0.314359401
BTBD8,0.04412931,0.01937438,2.724520896,-4.00445723,0.314347866,0.314347866
CITED2,0.002874756,0.000628998,4.678816572,-0.540229491,0.314333406,0.314333406
SLC35A4,0.003205022,0.00073028,4.588635522,-0.693801967,0.314302483,0.314302483
SYNJ1,0.011109937,0.003627513,3.656485267,-2.33153258,0.314272646,0.314272646
CSNK1G2,0.017627537,0.006428654,3.335666904,-2.908986512,0.314178486,0.314178486
ZNF442,0.000247165,0.0000157,-7.176896577,3.268452614,-0.31416979,0.31416979
CEP55,0.03483298,0.014640732,2.879490603,-3.72902985,0.314146809,0.314146809
CTSA,0.028919567,0.011723072,3.002381525,-3.509057558,0.314134777,0.314134777
LSM7,0.00150493,0.000259428,-5.228481185,0.372890973,-0.31410314,0.31410314
ZRANB3,0.001399114,0.000233684,-5.295137074,0.480822776,-0.31402912,0.31402912
FAAH2,0.0063281,0.001786984,-4.060966162,-1.611070554,-0.31400485,0.31400485
RRAS,0.00257142,0.00054153,4.769937439,-0.386094376,0.313901326,0.313901326
FUT3,0.007147271,0.002093897,3.969545454,-1.772831699,0.313844074,0.313844074
MYL5,0.011773482,0.003904255,-3.615007314,-2.40599608,-0.313767319,0.313767319
AP4S1,0.003133494,0.000708656,-4.606737441,-0.662894974,-0.313741174,0.313741174
PRUNE,0.002416519,0.000496942,-4.822546249,-0.29758968,-0.313675272,0.313675272
ANKRD18A,0.01324208,0.004532891,-3.531034154,-2.556973336,-0.313602631,0.313602631
FGFBP3,0.002400386,0.000492991,-4.82744513,-0.289366525,-0.313580459,0.313580459
ALG2,0.000545856,0.0000574,6.232589246,1.931905137,0.313573144,0.313573144
C16orf13,0.001724713,0.000313235,-5.109272013,0.178321718,-0.313439754,0.313439754
CCT8,0.000748765,0.0000937,-5.896245507,1.425715873,-0.313433156,0.313433156
TDRG1,0.038809183,0.016653139,2.808273377,-3.855923751,0.313315946,0.313315946
CDKN2AIP,0.004334502,0.001088992,4.350429134,-1.104135533,0.313260424,0.313260424
CARD18,0.001036054,0.000152523,-5.571547068,0.921711849,-0.313254596,0.313254596
FLJ45513,0.009813065,0.003109969,-3.74362038,-2.175390821,-0.313245865,0.313245865
C12orf69,0.077520754,0.038027806,2.348935511,-4.657080761,0.313230313,0.313230313
UBE2M,0.001735346,0.000316663,5.10242605,0.16708838,0.313204046,0.313204046
SUPT4H1,0.005480336,0.00148671,-4.167786782,-1.423020142,-0.313182676,0.313182676
ZNF836,0.007469288,0.002213406,-3.937657554,-1.829420251,-0.313179519,0.313179519
PI16,0.051070442,0.0230982,-2.62708243,-4.176120763,-0.313152055,0.313152055
AGT,0.000887207,0.000121745,-5.72046065,1.154731268,-0.313129909,0.313129909
LTN1,0.146279358,0.082117383,-1.908290954,-5.377143651,-0.312890722,0.312890722
DBIL5P,0.032197366,0.013345203,-2.930715114,-3.637476255,-0.312885075,0.312885075
TAGLN3,0.011040886,0.003600493,-3.660708229,-2.323955923,-0.312856162,0.312856162
DNAJB3,0.006594252,0.001883907,4.030439468,-1.665004151,0.312847747,0.312847747
PPP2R3C,0.000668434,0.0000791,-6.011021992,1.600265686,-0.312823248,0.312823248
TESK1,0.012202724,0.004089505,3.588897169,-2.452910185,0.312819206,0.312819206
